X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
396029.229999997,137018.530000001,25173513,2025/11/15 12:26:36+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,396029.23,137018.53,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.9010110345,-77.045776453,,2025/11/15 02:10:00+00,2025/11/15 03:00:00+00,844745831,
403992.450000003,135998.82,25178896,2025/11/25 17:38:31+00,DAY,OTHERS,MOTOR VEHICLE THEFT,100 - 222 BLOCK OF 35TH STREET NE,403992.45,135998.82,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,38.8918250184,-76.9539795385,,2025/11/24 17:00:00+00,2025/11/24 19:00:00+00,844746025,
400811.170000002,140024.199999999,25425089,2025/11/26 12:32:56+00,DAY,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF 12TH STREET NE,400811.17,140024.2,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 73,38.9280957096,-76.9906449912,,2025/11/19 00:48:00+00,2025/11/19 00:49:00+00,844746026,
399490.939999998,134234.390000001,25169912,2025/11/08 05:33:41+00,MIDNIGHT,KNIFE,THEFT/OTHER,1200 - 1253 BLOCK OF 1ST STREET SE,399490.94,134234.39,8,8F,1,106,Cluster 27,007201 1,007201,Precinct 131,38.8759392734,-77.0058665631,CAPITOL RIVERFRONT,2025/11/08 04:26:00+00,2025/11/09 04:51:00+00,844746027,
399680.75,141427.780000001,25174287,2025/11/16 17:47:41+00,DAY,OTHERS,BURGLARY,100 - 399 BLOCK OF TAYLOR STREET NE,399680.75,141427.78,5,5A,4,405,Cluster 19,009510 3,009510,Precinct 44,38.9407398975,-77.0036824787,,2025/11/16 15:34:00+00,2025/11/16 17:05:00+00,844746179,
398010.310000002,138697.329999998,25164835,2025/11/04 21:33:27+00,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF 8TH STREET NW,398010.31,138697.33,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9161409594,-77.0229427215,,2025/10/30 02:49:00+00,2025/10/30 03:50:00+00,844746570,
406321.161200002,136994.9384,25167637,2025/11/04 03:50:41+00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 51ST STREET NE,406321.161155819,136994.938364562,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9007847532,-76.9271276258,,2025/11/04 02:48:00+00,2025/11/04 03:51:00+00,844746650,
399490.273699999,134352.7403,25175423,2025/11/19 03:08:26+00,EVENING,OTHERS,BURGLARY,1100 - 1199 BLOCK OF 1ST STREET SE,399490.27369348,134352.74034611,6,8F,1,106,Cluster 27,007202 1,007202,Precinct 131,38.8770054198,-77.0058743296,CAPITOL RIVERFRONT,2025/11/18 22:37:00+00,2025/11/19 00:41:00+00,844746978,
401135.799999997,136927.440000001,25176255,2025/11/20 16:44:30+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF H STREET NE,401135.8,136927.44,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,38.9001986979,-76.9869062421,,2025/11/17 17:00:00+00,2025/11/20 02:00:00+00,844746981,
404307.07,136006.84,25175047,2025/11/18 06:17:53+00,MIDNIGHT,GUN,THEFT/OTHER,BLAINE STREET NE AND BURNS STREET NE,404307.06998595,136006.83999565,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,38.8918957804,-76.9503529045,,2025/11/18 02:46:00+00,2025/11/18 04:36:00+00,844747002,
